clave1 *,clave2,descripción *,departamento,categoria,(s/n) inventariable,unidad,costo,precio1,(s/n) precio con impuestos,(s/n) imp IVA (8%),(s/n) imp IVA (16%),(s/n) granel,existencia,,
TJAP41588,TJAP41588,SET CHEF MUFFIN ,Accesorios,Utensilios,SI,Pieza,,, $440.00 ,,,,,,52151600
HGH00012,HGH00012,PALO MADERA 45CM 10PZ,Accesorios,Utensilios,SI,Paquete,,, $15.00 ,,,,,,52151706
X002SPP9V1,X002SPP9V1,KIT CHEF ROSA ,Accesorios,Utensilios,SI,Pieza,,, $520.00 ,,,,,,52151600
X002SPSOKJ,X002SPSOKJ,KIT CHEF AZUL,Accesorios,Utensilios,SI,Pieza,,, $520.00 ,,,,,,52151600
HGH00006,000695317669 334,MOLDE CORAZON ACETATO,Moldes,Utensilios,SI,Pieza,,, $50.00 ,,,,,,52151907
M21050539,070896405395,"MOLDE PALETA ""POPS"" FLOR (4 CAV)",Moldes,Utensilios,SI,Pieza,,, $141.00 ,,,,,,52151907
4-0709,7501553407091,"PALILLO "" GOLF"" 15 cm (50 pzas)",Herramientas,Utensilios,SI,Pieza,,, $32.00 ,,,,,,60111410
URV-002,7501553797896,ESPOLVOREADOR C/ ASA,Herramientas,Utensilios,SI,Pieza,,, $60.00 ,,,,,,52151600
18008020,8011248000471,CHAROLA P/PASTEL DORADA (15x30 cm),Moldes,Charolas,SI,Pieza,,, $45.00 ,,,,,,24112500
18008040,8011248000518,CHAROLA P/PASTEL DORADA (15x40 cm),Moldes,Charolas,SI,Pieza,,, $55.00 ,,,,,,24112500
815,7501553797797,REGLA DE PLAST P/ REPOSTERIA,Herramientas,Utensilios,SI,Pieza,,, $30.00 ,,,,,,52151600
HGH00001,000695317668 840,MOLDE ACETATO BARRA CHOCOLATE ,Moldes,Utensilios,SI,Pieza,,, $40.00 ,,,,,,52151907
700818123020,7008181260 20,DOSIFICADOR PARA CREMAS Y CHOCOLATE,Herramientas,Utensilios,SI,Pieza,,, $112.00 ,,,,,,52151600
700892504025,7008925040 25,MOLDE ESFERA PLASTICO CON IMANES 14CM,Moldes,Utensilios,SI,Pieza,,, $420.00 ,,,,,,52151600
12504037,12504037,MOLDE ESFERA PLASTICO 14CM,Moldes,Utensilios,SI,Pieza,,, $499.00 ,,,,,,52151600
1530448,1530448,SEPARADOR DE CLARAS KSA,Herramientas,Utensilios,SI,Pieza,,, $20.00 ,,,,,,52151629
HGH00011,7503028444182,PALITO MADERA  10PZ CON PUNTA,Herramientas,Utensilios,SI,Pieza,,, $12.00 ,,,,,,52151706
791860066359,791860066359,SET CORTADOR GALLETAS 6PZ ROJO,Herramientas,Cortadores,SI,Set,,, $44.00 ,,,,,,80141600
1359797,5550220060124,COLADOR CROMADO 12 CM MANGO DE PLASTICO MORADO,Herramientas,Utensilios,SI,Pieza,,, $44.00 ,,,,,,52151604
1359798,5550220060148,COLADOR CROMADO 14 CM MANGO DE PLASTICO NARANJA,Herramientas,Utensilios,SI,Pieza,,, $54.00 ,,,,,,52151604
1359799,5550220060162,COLADOR CROMADO 16 CM MANGO DE PLASTICO VERDE,Herramientas,Utensilios,SI,Pieza,,, $64.00 ,,,,,,52151604
1359800,5550220060186,COLADOR CROMADO 18 CM MANGO DE PLASTICO AMARILLO,Herramientas,Utensilios,SI,Pieza,,, $74.00 ,,,,,,52151604
1359801,5550220060209,COLADOR CROMADO 20 CM MANGO DE PLASTICO ROJO,Herramientas,Utensilios,SI,Pieza,,, $84.00 ,,,,,,52151604
HG03419,HG03419,PALITOS PALETA BCO 10PZ,Herramientas,Utensilios,SI,Pieza,,, $14.00 ,,,,,,13102000
AOLT39591,AOLT39591,SET CHEF DINOSAURIO,Herramientas,Utensilios,SI,Pieza,,, $370.00 ,,,,,,52151600
HGH00013,HGH00013,PALITO PLANO MADERA 20PZ,Herramientas,Utensilios,SI,Pieza,,, $15.00 ,,,,,,11122000
HGH00014,7503028444168,PALITO PLANO GDE MADERA,Herramientas,Utensilios,SI,Pieza,,, $16.00 ,,,,,,42181501
HG000050,HG000050,MARTILLO MADERA,Herramientas,Utensilios,SI,Pieza,,, $15.00 ,,,,,,50161800
OTS000162,4895217111436,JGO HERRAMIENTAS TALLADO PARA FRUTA 3 pz,Herramientas,Utensilios,SI,Pieza,,, $145.00 ,,,,,,48101800
80988808089,80988808089,HILO PARA COCINAR 1M,Herramientas,Utensilios,SI,Pieza,,, $6.00 ,,,,,,11151700
7503028444021,7503028444021,BANDERILLA 25 CM MARTIN 100 PIEZAS,Herramientas,Utensilios,SI,Pieza,,, $50.00 ,,,,,,50161800
4895217106500,4895217106500,AEROGRAFO INALAMBRICO,Herramientas,Utensilios,SI,Pieza,,," $2,400.00 ",,,,,,31211914
067742991584,067742991584,PINZAS SANTA,Herramientas,Utensilios,SI,Pieza,,, $120.00 ,,,,,,52151611
TOL00000090,4897080491233,JGO UTENSILIOS P/CHOCOLATE 3 PZ,Herramientas,Utensilios,SI,Pieza,,, $37.00 ,,,,,,52151625
7503028444038,7503028444038,BANDERILLA 30 CM MARTIN 100 PIEZAS,Herramientas,Utensilios,SI,Pieza,,, $55.00 ,,,,,,50161800
7503028444014,7503028444014,BANDERILLA 15 CM MARTIN 100 PIEZAS,Herramientas,Utensilios,SI,Pieza,,, $40.00 ,,,,,,50161800
666661680450,666661680450,APLICADOR CON DUYAS,Herramientas,Utensilios,SI,Pieza,,, $50.00 ,,,,,,52151622
666661680152,666661680152,CERNIDOR 250GR ACERO,Herramientas,Utensilios,SI,Pieza,,, $85.00 ,,,,,,52151600
666661681939,666661681939,PISTOLA PARA BETUN,Herramientas,Utensilios,SI,Pieza,,, $50.00 ,,,,,,52151622
7503028444328,7503028444328,BANDERILLA 20 CM MARTIN 100 PIEZAS,Herramientas,Utensilios,SI,Pieza,,, $45.00 ,,,,,,50161800
666661686559,666661686559,BROCHA REPOSTERIA  G,Herramientas,Utensilios,SI,Pieza,,, $60.00 ,,,,,,52151608
666661686558,666661686558,BROCHA REPOSTERIA  CH,Herramientas,Utensilios,SI,Pieza,,, $45.00 ,,,,,,52151608
4-0710,7501553407108,"PALILLO ""GOLF"" 20 cm (50 pzas)",Herramientas,Utensilios,SI,Pieza,,, $38.00 ,,,,,,60111410
7501553407110,7501553407110,PALILLO BAMBU  20 cm 20PZ,Herramientas,Utensilios,SI,Pieza,,, $30.00 ,,,,,,60111410
HG03420,HG03420,PALITOS PALETA BLANCO 20PZ,Herramientas,Utensilios,SI,Pieza,,, $22.00 ,,,,,,13102000
7502269164580,7502269164580,PALITO PAPEL 10CM 10PZ,Herramientas,Utensilios,SI,Pieza,,, $10.00 ,,,,,,14101500
666661680622,666661680622,BATIDOR CAFFE,Herramientas,Utensilios,SI,Pieza,,, $65.00 ,,,,,,14101500
HG2308,HG2308,ATOMIZADOR BOLSILLO,Herramientas,Utensilios,SI,Pieza,,, $20.00 ,,,,,,52152002
DTEM242,DTEM242,SELLADORA MANUAL,Herramientas,Utensilios,SI,Pieza,,, $160.00 ,,,,,,50192300
7502243493845,7502243493845,MINI VASO ACRILICO 10PZ,Herramientas,Utensilios,SI,Pieza,,, $80.00 ,,,,,,48101800
TOL00000099,4897080491356,ESPOLVOREADOR PLASTICO,Herramientas,Utensilios,SI,Pieza,,, $90.00 ,,,,,,52151610
18124001,902218124001,CERNIDOR 10.6X9.5CM ACERO INOX,Herramientas,Utensilios,SI,Pieza,,, $189.00 ,,,,,,52151600
HGACR0014,HGACR0014,MINI CAKE TOPPER 10PZ,Decoracion,Cake topper,SI,Pieza,,, $95.00 ,,,,,,60111410
764784015376,764784015376,BANDERILLAS BAMBU 12CM,Herramientas,Utensilios,SI,Pieza,,, $40.00 ,,,,,,60122201
764784015406,764784015406,BANDERILLAS BAMBU 15CM,Herramientas,Utensilios,SI,Pieza,,, $45.00 ,,,,,,60122201
ARA91760,8411777917606,ARAVEN VASO DEGUSTACION TRANSPARENTE PQ/6 PZ,Herramientas,Utensilios,SI,Pieza,,, $95.00 ,,,,,,48101800
ARA91770,ARA91770,ARAVEN CUCHARILLA II RET 100UD TRANSPARENTE,Herramientas,Utensilios,SI,Pieza,,, $170.00 ,,,,,,48101902
HGARA91770,HGARA91770,ARAVEN CUCHARILLA II RET 25UD TRANSPARENTE,Herramientas,Utensilios,SI,Pieza,,, $45.00 ,,,,,,48101902
ARA91735,8411777917354,ARAVEN VASO DEGUSTACION NATURAL 5CL PQ/5 0 PZ,Herramientas,Utensilios,SI,Pieza,,, $446.00 ,,,,,,48101903
HGARA91735,HGARA91735,ARAVEN VASO DEGUSTACION NATURAL 10 PZ,Herramientas,Utensilios,SI,Pieza,,, $100.00 ,,,,,,48101903
ARA91736,8411777917361,ARAVEN VASO DEGUSTACION 9CL NATURAL PQ/50PZS,Herramientas,Utensilios,SI,Pieza,,, $463.00 ,,,,,,48101903
HGARA91736,HGARA91736,ARAVEN VASO DEGUSTACION 9CL NATURAL 10PZS,Herramientas,Utensilios,SI,Pieza,,, $110.00 ,,,,,,48101903
6958037097460,6958037097460,MOLDE PALETA CONEJO,Moldes,Silicon,SI,Pieza,,, $35.00 ,,,,,,53102001
HGACR0011,HGACR0011,PALITOS PALETA ACRILICO BLANCO,Herramientas,Utensilios,SI,Pieza,,, $50.00 ,,,,,,60111410
HGACR0012,HGACR0012,PALITOS PALETA ACRILICO ROJO,Herramientas,Utensilios,SI,Pieza,,, $50.00 ,,,,,,60111410
HGACR0013,HGACR0013,MINI CAKE TOPPER 5PZ,Decoracion,Cake topper,SI,Pieza,,, $50.00 ,,,,,,60111410
102-040-01 1,838485010463,PELADOR ARUGULA/MERENGUE PP-120AV,Herramientas,Utensilios,SI,Pieza,,, $110.00 ,,,,,,52151609
102-041-03 7,838485010470,PELADOR DE MANO,Herramientas,Utensilios,SI,Pieza,,, $110.00 ,,,,,,52151609
4-0398,750155343988,"SET M P/CAKE POP DONA, CORAZON & PANQU",Herramientas,Utensilios,SI,Pieza,,, $115.00 ,,,,,,52151907
10425,10425,ACUARELA PASCUA,Herramientas,Utensilios,SI,Pieza,,, $15.00 ,,,,,,12171504
7502269164583,7502269164583,PALITOS PALETA BLANCO 10cm 50PZ,Herramientas,Utensilios,SI,Pieza,,, $35.00 ,,,,,,14101500
7502269194511,7502269194511,PALITOS PALETA BLANCO 15cm 50PZ,Herramientas,Utensilios,SI,Pieza,,, $45.00 ,,,,,,14101500
ARA91739,ARA91739,ARAVEN CUCHARILLA DEGUSTACION NAT 25PZ,Herramientas,Utensilios,SI,Pieza,,, $460.00 ,,,,,,48101902
ARA91740,ARA91740,ARAVEN CUCHARILLA DEGUSTACION NAT 250PZ,Herramientas,Utensilios,SI,Pieza,,, $45.00 ,,,,,,48101902
TAB4256,TAB4256,"TABLECRAFT WOOD MUDDELER 8""",Herramientas,Utensilios,SI,Pieza,,, $170.00 ,,,,,,48101902
5-5027,5-5027,JGO PARA DECORAR ALIMENTOS 3PZS,Herramientas,Utensilios,SI,Set,,, $35.00 ,,,,,,48101800
4-1596,7501553415967,VASO POSTRE 50 PZ ALEGRIA,Herramientas,Utensilios,SI,Pieza,,, $100.00 ,,,,,,48101800
TOL00000080,4897080491134,JGO M PLAST 3D NAVIDAD 4PZ,Herramientas,Utensilios,SI,Pieza,,, $80.00 ,,,,,,52151907
666661688002,666661688002,BROCHA ESPATULA 2PZ REPOSTERIA,Herramientas,Utensilios,SI,Pieza,,, $100.00 ,,,,,,52151608
725424,195158008470,CORTADOR ARBOL NAVIDAD 10PZ,Herramientas,Utensilios,SI,Pieza,,, $220.00 ,,,,,,52151622
666661682608,666661682608,MOLDE LETRAS ROSA MINUSCULA,Moldes,Utensilios,SI,Pieza,,, $80.00 ,,,,,,52151622
666661686279,666661686279,CORTADOR FONDANT GRECA S740,Herramientas,Utensilios,SI,Pieza,,, $50.00 ,,,,,,52151622
HGDUY01,HGDUY01,PORTA DUYAS,Herramientas,Utensilios,SI,Pieza,,, $80.00 ,,,,,,48101800
666661686278,666661686278,CORTADOR FONDANT GRECA,Herramientas,Utensilios,SI,Pieza,,, $50.00 ,,,,,,52151622
TOL001179,4895217158240,JGO MOLDE P/BUÑUELO FLOR HOJA ESTRELLA 5PZAS,Herramientas,Utensilios,SI,Pieza,,, $200.00 ,,,,,,52151900
TOL001180,4895217158257,JGO MOLDE P/BUÑUELO FLOR MARIPOSA 5PZAS,Herramientas,Utensilios,SI,Pieza,,, $200.00 ,,,,,,52151900
3-0069,7501553300690,ESPOLVOREADOR FINO,Herramientas,Utensilios,SI,Pieza,,, $54.00 ,,,,,,52151620
HGACR0003,HGACR0003,PALITOS PALETA ACRILICO NEGRO,Herramientas,Utensilios,SI,Pieza,,, $50.00 ,,,,,,60111410
HGACR0004,HGACR0004,PALITOS PALETA  ACRILICO PLATA,Herramientas,Utensilios,SI,Pieza,,, $52.00 ,,,,,,60111410
HGACR0005,HGACR0005,PALITOS PALETA ACRILICO DORADO,Herramientas,Utensilios,SI,Pieza,,, $52.00 ,,,,,,60111410
HGACR0006,HGACR0006,PALITOS PALETA ACRILICO ROSA ORO,Herramientas,Utensilios,SI,Pieza,,, $52.00 ,,,,,,60111410
8882022804987,8882022804987,RALLADOR LARGO 80497,Herramientas,Utensilios,SI,Pieza,,, $145.00 ,,,,,,52151600
8882022804970,8882022804970,RALLADOR LARGO 80498,Herramientas,Utensilios,SI,Pieza,,, $145.00 ,,,,,,52151600
8882022804990,8882022804990,RALLADOR LARGO DELGADO,Herramientas,Utensilios,SI,Pieza,,, $145.00 ,,,,,,52151600
63-027,7501553630278,"ESPATULA, CUCHARAS MED Y SEPARADOR/HUEV",Herramientas,Utensilios,SI,Pieza,,, $35.00 ,,,,,,52151629
63-027,7501553630278,"ESPATULA, CUCHARAS MED Y SEPARADOR/HUEV",Herramientas,Utensilios,SI,Pieza,,, $35.00 ,,,,,,52151629
14963014455,14963014455,PROBADOR P/ PAN,Herramientas,Utensilios,SI,Pieza,,, $55.00 ,,,,,,52151600
HGCH011,HGCH011,EXACTO SENCILLO,Herramientas,Utensilios,SI,Pieza,,, $80.00 ,,,,,,52151600
11611,11611,ESTILETE ACOCADOR PUNTA DE ACERO,Herramientas,Utensilios,SI,Pieza,,, $165.00 ,,,,,,52151600
666661680398,666661680398,EXACTO 3PZ,Herramientas,Utensilios,SI,Pieza,,, $90.00 ,,,,,,52151600
1862,1862,MOLDE SILICON SIRENA,Moldes,Silicon,SI,Pieza,,, $98.00 ,,,,,,52151907
333,333,MOLDE SILICON FLORES ROSA,Moldes,Silicon,SI,Pieza,,, $110.00 ,,,,,,52151907
666661686315,666661686315,MOLDE SILICON ABC 48PZ,Moldes,Silicon,SI,Pieza,,, $120.00 ,,,,,,52151907
666661686317,666661686317,MOLDE SILICON CAMPEON,Moldes,Silicon,SI,Pieza,,, $120.00 ,,,,,,52151907
666661686307,666661686307,MOLDE SILICON BARRA CHOC 4CAV,Moldes,Silicon,SI,Pieza,,, $110.00 ,,,,,,52151907
666661686306,666661686306,MOLDE SILICON ROSQUITAS,Moldes,Silicon,SI,Pieza,,, $145.00 ,,,,,,52151907
666661686645,666661686645,EXACTO CAJA VARIAS PUNTAS,Herramientas,Utensilios,SI,Pieza,,, $135.00 ,,,,,,52151600
6666616862619,6666616862619,MOLDE SILICON ABC BOY,Moldes,Utensilios,SI,Pieza,,, $90.00 ,,,,,,52151907
666661682607,666661682607,MOLDE LETRAS ROSA MAYUSCULA,Moldes,Utensilios,SI,Pieza,,, $80.00 ,,,,,,52151907
CND001027,4895217108153,JGO PASTEL NEGRO PLATO TENEDOR PALA VELA,Pastel,Utensilios,SI,Pieza,,, $55.00 ,,,,,,52121602
CND001026,4895217108146,JGO PASTEL ROSA PLATO TENEDOR PALA VELA,Pastel,Utensilios,SI,Pieza,,, $70.00 ,,,,,,52121602
7502012010037,7502012010037,DELANTAL DE COCINA,HGOURMET,Utensilios,SI,Pieza,,, $105.00 ,,,,,,53102700
8433802903491,8433802903491,MANDIL NEGRO 45X55CM,HGOURMET,Utensilios,SI,Pieza,,, $90.00 ,,,,,,53102700
HG2303,HG2303,MANTA DE CIELO 100X60 CM,HGOURMET,Utensilios,SI,Pieza,,, $50.00 ,,,,,,11161700
70896154873,70896154873,MOLDE CHOCOLATE ESFERA C/2 PZ 3D,Moldes,Utensilios,SI,Pieza,,, $120.00 ,,,,,,52151600
HG2304,HG2304,MANDIL NEGRO,HGOURMET,Utensilios,SI,Pieza,,, $155.00 ,,,,,,53102700
HG2305,HG2305,GORRO CHEF NEGRO,HGOURMET,Utensilios,SI,Pieza,,, $100.00 ,,,,,,53102516
191010316,191010316,MOLDE CHOCOLATE FANTASMAS C/2 PZAS.,Moldes,Utensilios,SI,Pieza,,, $95.00 ,,,,,,52151600
191010315,191010315,MOLDE PARA CHOCOLATE CALABAZA C/2,Moldes,Utensilios,SI,Pieza,,, $95.00 ,,,,,,52151600
8433802895161,8433802895161,GORRO CHEF 1PZ,HGOURMET,Utensilios,SI,Pieza,,, $80.00 ,,,,,,53102516
8435545705912,8435545705912,DELANTAL DE COCINA NEGRO,HGOURMET,Utensilios,SI,Pieza,,, $105.00 ,,,,,,53102700
6988235929904,6988235929904,BASCULA ELECTRONIC,Herramientas,Basculas,SI,Pieza,,, $180.00 ,,,,,,52151646
4-1767,7501553417671,BASCULA DIGITAL 2Kg/1g,Herramientas,Basculas,SI,Pieza,,, $250.00 ,,,,,,52151646
P115C,857817000118,BASCULA PRIMO CROMO 5 KG,Herramientas,Basculas,SI,Pieza,,," $1,450.00 ",,,,,,52121600
7501092101024,7501092101024,CREMA PARA BATIR LYNCOTT,Insumos,Lacteos,SI,Pieza,,, $91.00 ,,,,,,73131804
7501059240681,7501059240681,LECHE EVAPORADA 1 KG CARNATION,Insumos,Lacteos,SI,Pieza,,, $52.00 ,,,,,,50131702
7506475104722,7506475104722,LA LECHERA NESTLE  375 GR,Insumos,Lacteos,SI,Pieza,,, $38.00 ,,,,,,50131702
7501058615596,7501058615596,TRES LECHES LA LECHERA,Insumos,Lacteos,SI,Pieza,,, $86.00 ,,,,,,12164502
000750647510 474,7506475104746,DULCE DE LECHE NESTLE,Insumos,Lacteos,SI,Pieza,,, $45.00 ,,,,,,50131702
000750105862 951,7501058629517,DUO PACK CARNATION,Insumos,Lacteos,SI,Pieza,,, $44.00 ,,,,,,50131702
7501058611062,7501058611062,CARNATION 360GR,Insumos,Lacteos,SI,Pieza,,, $28.00 ,,,,,,50131702
049800029705,049800029705,CREMA PREPARADA TOP RICH 453GR,Insumos,Lacteos,SI,Pieza,,, $95.00 ,,,,,,50192302
7501111022026,7501111022026,MANTEQUILLA EUGENIA TRADICIONAL 1KG,Refrigeracion,Lacteos,SI,Pieza,,, $218.00 ,,,,,,50131701
7501013610024,7501013610024,MANT GLORIA BARRA 90GR,Refrigeracion,Lacteos,SI,Pieza,,, $32.00 ,,,,,,50131700
7501770935217,7501770935217,MANTEQUILLA SABOREX 1 KG,Refrigeracion,Lacteos,SI,Pieza,,, $97.00 ,,,,,,50131702
750107750669,750107750669,MANTEQUILLA NOCHE BUENA 1KG,Refrigeracion,Lacteos,SI,Pieza,,, $280.00 ,,,,,,50131702
7501668612305,7501668612305,CREMA BATIR NATA RICHS,Refrigeracion,Lacteos,SI,Pieza,,, $102.00 ,,,,,,50192302
7501096810410,7501096810410,CREMA BATIR TOP CREAM VAINILLLA 1LT,Refrigeracion,Lacteos,SI,Pieza,,, $95.00 ,,,,,,50192302
7501668612343,7501668612343,CREMA BATIR CHOCOLATE RICHS,Refrigeracion,Lacteos,SI,Pieza,,, $115.00 ,,,,,,50192302
7501058627292,7501058627292,CREMA PARA BATIR NESTLE 950 ML,Refrigeracion,Lacteos,SI,Pieza,,, $110.00 ,,,,,,50192302
7503028925032,7503028925032,CREMA PARA BATIR TOP CREAM VAINILLA 460 G,Refrigeracion,Lacteos,SI,Pieza,,, $55.00 ,,,,,,50192302
000750111102102,7501111021029,MANTEQUILLA EUGENIA NATURAL 1 KG,Refrigeracion,Lacteos,SI,Pieza,,, $240.00 ,,,,,,50131701
84111506,7622210561558,PHILADELPHIA 180 GR,Refrigeracion,Lacteos,SI,Pieza,,, $55.00 ,,,,,,50131800
7501002615221,7501002615221,PHILADELPHIA 1.9 KG,Refrigeracion,Lacteos,SI,Pieza,,, $370.00 ,,,,,,50131800
1108,7501013610055,MANTEQUILLA GLORIA 1K VERD,Refrigeracion,Lacteos,SI,Pieza,,, $295.00 ,,,,,,50131700
1202,7501013610178,MANTEQUILLA GLORIA 1K BCA,Refrigeracion,Lacteos,SI,Pieza,,, $280.00 ,,,,,,50131700
7501770935026 ,7501770935026,MANTEQUILLA SIN SAL LOMA LINDA 1 KG ,Refrigeracion,Lacteos,SI,Pieza,,, $120.00 ,,,,,,50131702
8405310602104,8405310602104,CREMA PARA BATIR VEGETAL AMBIANTE 1 LT PIEZA,Refrigeracion,Lacteos,SI,Pieza,,, $85.00 ,,,,,,50192302
PHG000008,PHG000008,SUSTITUTO DE ACITRON BOTE,Insumos,Reyes,SI,Pieza,,, $65.00 ,,,,,,50192302
7501123419180,7501123419180,SUSTITUTO DE ACITRON NATURAL KINI 1KG,Insumos,Reyes,SI,Kg,,, $110.00 ,,,,,,50192302
7501123407231,7501123407231,HIGO ENTERO EMERALD KINI BRICK 1 KILO,Insumos,Reyes,SI,Kg,,, $110.00 ,,,,,,50192300
PHG000004,PHG000004,HIGO ENTERO EMERALD KINI 240G,Insumos,Reyes,SI,Pieza,,, $28.00 ,,,,,,50192300
7501123419302,7501123419302,SUSTITUTO DE ACITRON ROJO KINI 1 KG,Insumos,Reyes,SI,Kg,,, $110.00 ,,,,,,50192302
7501123419258,7501123419258,SUSTITUTO DE ACITRON VERDE KINI 1 KG,Insumos,Reyes,SI,Kg,,, $110.00 ,,,,,,50192302
PHG000003,PHG000003,SUSTITUTO DE ACITRON NATURAL KINI 240 GRS,Insumos,Reyes,SI,Pieza,,, $40.00 ,,,,,,50192302
PHG000005,PHG000005,SUSTITUTO DE ACITRON ROJO KINI 240GRS,Insumos,Reyes,SI,Pieza,,, $40.00 ,,,,,,50192302
PHG000007,PHG000007,SUSTITUTO DE ACITRON VERDE KINI 240GRS,Insumos,Reyes,SI,Pieza,,, $40.00 ,,,,,,50192302
20409,20409,MUÑECO ROSCA DE LA SUERTE PAQUETE 1000 PIEZAS,Accesorios,Reyes,SI,Paquete,,, $300.00 ,,,,,,60111410
7502223774025,7502223774025,MANTECA VEGETAL INCA 1 KG PIEZA,Insumos,Manteca,SI,Pieza,,, $92.00 ,,,,,,50151514
7502223774001,7502223774001,MANTECA VEGETAL INCA 250GR,Insumos,Manteca,SI,Pieza,,, $24.00 ,,,,,,50151514
6917790011601,6917790011601,MEJORANTE DE PAN DULCE 220G,Insumos,Levadura,SI,Pieza,,, $26.00 ,,,,,,50181709
6917790011625,6917790011625,MEJORANTE DE PAN BLANCO 220G,Insumos,Levadura,SI,Pieza,,, $26.00 ,,,,,,50181709
7501861418001 ,7503029724146,LEVADURA PASTA MAGIDELY 400 GR PIEZA,Insumos,Levadura,SI,Pieza,,, $23.00 ,,,,,,50181708
017929111014,017929111014,TRADI PAN LEVADURA,Insumos,Levadura,SI,Pieza,,, $29.00 ,,,,,,50181708
7503012092085,7503012092085,LEVADURA PASTA AZTECA 400 GR PIEZA,Insumos,Levadura,SI,Pieza,,, $28.00 ,,,,,,50181708
7501861405001,7503029724023,LEVADURA INSTANTANEA MASA SALADA MAGIDELY 450 GR PIEZA,Insumos,Levadura,SI,Pieza,,, $68.00 ,,,,,,50181708
7501861404004,7503029724016,LEVADURA INSTANTANEA MASA DULCE MAGIDELY 450 GR PIEZA,Insumos,Levadura,SI,Pieza,,, $68.00 ,,,,,,50181708
7503021997234,0781159002229,ADITIVO DE ALIMENTOS CMC DEIMAN 100 G PIEZA,Insumos,Polvos,SI,Pieza,,, $68.00 ,,,,,,12164501
3267793000007,3267793000007,LEVADURA SAF-INSTANT 500GR,Insumos,Levadura,SI,Pieza,,, $110.00 ,,,,,,50181708
017929418229,017929418229,LEVADURA SAF-INSTANT 125GR,Insumos,Levadura,SI,Pieza,,, $48.00 ,,,,,,50181708
6917790034488,6917790034488,MEJORANTE DE PAN BLANCO 440G,Insumos,Levadura,SI,Pieza,,, $42.00 ,,,,,,50181708
6917790034464,6917790034464,MEJORANTE DE PAN DULCE 440G,Insumos,Levadura,SI,Pieza,,, $42.00 ,,,,,,50181708
712038,712038,CHOCOCIMA JARAB CHOC 24BX500GM,Insumos,Rellenos,SI,Pieza,,, $42.00 ,,,,,,50161511
7108,7501013610680,BRILLO,Insumos,Rellenos,SI,Pieza,,, $47.00 ,,,,,,50161800
8405310601824,4111305,Freshfil Fresa 1 Kg Mermeladas,Insumos,Rellenos,SI,Pieza,,, $50.00 ,,,,,,50192400
8405310601831,4111306,Freshfil Piña 1 Kg Mermeladas,Insumos,Rellenos,SI,Pieza,,, $51.00 ,,,,,,50192400
276213,612154003297,DULCIMA LECHE CONDENSADA 1 KG,Insumos,Rellenos,SI,Pieza,,, $77.00 ,,,,,,50192302
8405310601244,4111292,LF Fruitfil Manzana 1 Kg MERMELADAS,Insumos,Rellenos,SI,Pieza,,, $69.00 ,,,,,,50192400
739944011611,739944011611,CAJETA HORNEABLE 1 KG,Insumos,Rellenos,SI,Pieza,,, $90.00 ,,,,,,50192302
7502246733382,7502246733382,BRILLO PARA PAN MABAKER 250ML,Insumos,Rellenos,SI,Pieza,,, $47.00 ,,,,,,50192302
7501123400041,7501123400041,BICARBONATO ARIS 5KG,Insumos,Polvos,SI,Pieza,,, $352.00 ,,,,,,12164501
HGI00072,HGI00072,BICARBONATO DE SODIO 250GR,Insumos,Polvos,SI,Pieza,,, $15.00 ,,,,,,12164501
16000490888,16000490888,BETTY CROCKER RED VELVET 432GR,Insumos,Harina,SI,Pieza,,, $55.00 ,,,,,,50181700
16000490970,16000490970,BETTY CROCKER VAINILLA 432GR,Insumos,Harina,SI,Pieza,,, $55.00 ,,,,,,50181700
16000490956,16000490956,BETTY CROCKER CHOCOLATE 432GR,Insumos,Harina,SI,Pieza,,, $55.00 ,,,,,,50181700
HGI00049,HGI00049,HARINA BOLA ROJA 1 KG,Insumos,Harina,SI,Kg,,, $26.00 ,,,,,,50221002
PHG000002,PHG000002,HARINA PASTEL 3 LECHES CHOC 1kg,Insumos,Harina,SI,Kg,,, $93.00 ,,,,,,50181700
7501404603116,7501404603116,HARINA SELECTA 1kg,Insumos,Harina,SI,Pieza,,, $28.00 ,,,,,,50181708
HGI00048,HGI00048,BICARBONATO 500 GR,Insumos,Polvos,SI,Pieza,,, $20.00 ,,,,,,12164501
HGI00091,HGI00091,BICARBONATO DE SODIO 1kg,Insumos,Polvos,SI,Pieza,,, $30.00 ,,,,,,12164501
V320-250,7501553774217,ALGINATO DE SODIO 250g,Insumos,Polvos,SI,Pieza,,, $330.00 ,,,,,,12161805
16000490932,16000490932,BETTY CROCKER BROWNE,Insumos,Harina,SI,Pieza,,, $120.00 ,,,,,,50181700
16000208018,16000208018,BETTY CROCKER FUDGE,Insumos,Harina,SI,Pieza,,, $65.00 ,,,,,,50181700
7501003306463,7501003306463,PUMPKIN SPICE MC CORMICK,Insumos,Polvos,SI,Pieza,,, $65.00 ,,,,,,50171500
7501003301932,7501003301932,NUEZ MOSCADA MC CORMICK,Insumos,Polvos,SI,Pieza,,, $120.00 ,,,,,,50171500
HG03116,HG03116,HARINA SELECTA PORC 1KG,Insumos,Harina,SI,Pieza,,, $27.00 ,,,,,,50181708
ALPOSC TH - 01,ALPOSC TH - 01,Almendra en Polvo S/Cutícula Treehouse,Insumos,Granos,SI,Pieza,,, $226.00 ,,,,,,50101700
